confidence_target,demo_priority,eval_tags,expected_live_tip,expected_pause_summary,expected_semantic_actions,filename,forbidden_actions,future_needed_actions,height,image_path,label_source,parent_filename,parent_record_id,positive_factors,primary_subject,problems,quality_label,record_id,review_status,scene_type,sha256,source_bucket,source_dataset,synthetic_recipe,technical_quality_defects,width
high,False,"['stage', 'group_subject']","Группа читается хорошо, сильных исправлений не нужно.",Сценический свет выделяет группу и действие.,['keep_current_setup'],011.jpeg,"['remove_background_hotspot', 'simplify_background']",[],716,docs/cameraanalysis/dataset/inbox/images/011.jpeg,codex_visual_contact_sheet_review_2026-05-21,,,['несколько людей читаются как группа'],танцоры на сцене,[],good,ca_img_011,ai_first_pass_needs_human_review,stage_performance_group,9e2b2d999ab1d3a3a91845d4533ed0d1bf15641b2e9a6aa51ee1c0bc2f78b86c,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['dialogue', 'portrait']",Кадр уже работает как диалоговая сцена.,Герой и собеседник создают понятную диалоговую сцену.,['keep_current_setup'],012.jpeg,"['step_closer', 'simplify_background']",[],719,docs/cameraanalysis/dataset/inbox/images/012.jpeg,codex_visual_contact_sheet_review_2026-05-21,,,['лицо или герой читается'],мужчина в диалоге,[],good,ca_img_012,ai_first_pass_needs_human_review,dialogue_medium_shot,b3cf9571828035b0c31d4385dea318de5f4bc03d1a05317fa50ed7a32b1a09c2,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['group_subject', 'no_clear_focus']","Возможно, стоит упростить фон или выбрать главный центр.","Событие понятно, но одного сильного центра внимания нет.","['simplify_background', 'shift_frame_right']",013.jpeg,['level_horizon'],[],714,docs/cameraanalysis/dataset/inbox/images/013.jpeg,codex_visual_contact_sheet_review_2026-05-21,,,[],группа людей на мероприятии,['нет ясного главного субъекта'],mixed,ca_img_013,ai_first_pass_needs_human_review,event_group_scene,ecbd839fb04b8baae6110ce23df862bff31d13ef9b7210ff2ef4bbd8fbdff1ae,curated_user_inbox,user_curated_candidate,,['no_clear_focus'],1280
medium,False,"['group_subject', 'background_clutter']","Возможно, стоит упростить фон или выбрать главный центр.",Много конкурирующих лиц и жестов; лучше дождаться более чистого момента.,"['wait_for_background_clearance', 'simplify_background']",014.jpeg,['level_horizon'],[],721,docs/cameraanalysis/dataset/inbox/images/014.jpeg,codex_visual_contact_sheet_review_2026-05-21,,,[],толпа на мероприятии,['фон или толпа конкурируют с главным субъектом'],mixed,ca_img_014,ai_first_pass_needs_human_review,event_group_scene,f37e06d77eae55bf5701bd026f073b97b20c81eb1b3ef66fd7a4886b58ea96b1,curated_user_inbox,user_curated_candidate,,['background_clutter'],1280
high,True,"['demo_good_group', 'composition']",Кадр уже читается хорошо.,Симметрия и повтор жестов дают ясную групповую форму.,['keep_current_setup'],015.jpeg,"['step_closer', 'simplify_background']",[],720,docs/cameraanalysis/dataset/inbox/images/015.jpeg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],группа с повязками на сцене,[],good,ca_img_015,ai_first_pass_needs_human_review,stage_group_composition,655f1cf9b8d4fa02d44c7a93473d63fb385dd9d88a6cd221bb398bb1403795f6,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,['group_subject'],"Группа читается хорошо, сильных исправлений не нужно.","Группа читается, контекст мероприятия понятен.",['keep_current_setup'],016.jpeg,"['shift_frame_left', 'shift_frame_right']",[],750,docs/cameraanalysis/dataset/inbox/images/016.jpeg,codex_visual_contact_sheet_review_2026-05-21,,,['несколько людей читаются как группа'],женщины на мероприятии,[],good,ca_img_016,ai_first_pass_needs_human_review,event_group_conversation,8a769279a38742f8819e5ac34c24ce8aa7a378054369e5bad6b269a5f9659e40,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['dialogue', 'group_subject']",Кадр уже работает как диалоговая сцена.,"Оба собеседника видны, диалог читается.",['keep_current_setup'],017.jpeg,"['step_closer', 'simplify_background']",[],717,docs/cameraanalysis/dataset/inbox/images/017.jpeg,codex_visual_contact_sheet_review_2026-05-21,,,['несколько людей читаются как группа'],двое мужчин в разговоре,[],good,ca_img_017,ai_first_pass_needs_human_review,dialogue_two_person,eb63186660ba0b2298ce854f05247000a5629cc9337bdae2d6a6ade871d5450e,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_cinematic', 'avoid_too_dark_false_positive']",Кадр читается хорошо: герой выделен светом и цветом.,Тень и низкий ключ являются художественным приемом.,['keep_current_setup'],018.jpeg,"['add_front_fill_light', 'level_horizon']",[],716,docs/cameraanalysis/dataset/inbox/images/018.jpeg,codex_visual_contact_sheet_review_2026-05-21,,,['темнота работает как художественный стиль'],мужчина с газетой в тени,[],good,ca_img_018,ai_first_pass_needs_human_review,cinematic_single_portrait,cda59574fa35bb9fee77b7db9d35e846b11e2d94955d4fa8ec044a184366a4e5,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_low_key', 'interior']",Кадр уже читается хорошо.,"Световые пятна ведут взгляд, темнота создает атмосферу.",['keep_current_setup'],019.jpg,"['add_front_fill_light', 'step_closer']",[],868,docs/cameraanalysis/dataset/inbox/images/019.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],темная комната с фигурой у окна,[],good,ca_img_019,ai_first_pass_needs_human_review,dark_interior_mood,0a271267b7481fe1d03fa811571261b23901205fe5047b4984a284a3911b2424,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_object', 'object_still_life']",Предметный кадр читается хорошо.,Предметы хорошо подсвечены и собраны в чистую композицию.,['keep_current_setup'],020.jpg,"['simplify_background', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/020.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['предмет является ясным визуальным центром'],камера и предметы на столе,[],good,ca_img_020,ai_first_pass_needs_human_review,object_still_life,c839892e8ce7e8596d79c9eb33efda950732ea7709df1ea0dca3e6a92ea87602,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['low_key', 'interior']",Кадр атмосферный: темнота здесь часть стиля.,"Окно является световым центром, темнота работает на настроение.",['keep_current_setup'],021.jpg,"['add_front_fill_light', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/021.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['темнота работает как художественный стиль'],темная комната с окном,[],good,ca_img_021,ai_first_pass_needs_human_review,dark_interior_window,b06c7439b60db6e6e4519e144c3fb862779c41fb1425318b1659274cbedd45b9,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['portrait', 'low_key']","Возможно, субъекту нужен мягкий свет.","Кадр выразительный, но лицо частично теряется в тени.",['add_front_fill_light'],022.jpg,"['level_horizon', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/022.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],женщина в темном свете,"['Кадр выразительный, но лицо частично теряется в тени.']",mixed,ca_img_022,ai_first_pass_needs_human_review,cinematic_portrait_low_light,cecb1e6cd20cca3e1b84307ed8ff437e579508f16028fc2b42a8a9fdb89a1f96,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['low_key', 'interior']",Кадр атмосферный: темнота здесь часть стиля.,Окно и тьма формируют mood shot без обязательного исправления экспозиции.,['keep_current_setup'],023.jpg,"['add_front_fill_light', 'step_closer']",[],849,docs/cameraanalysis/dataset/inbox/images/023.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['темнота работает как художественный стиль'],темное окно в интерьере,[],good,ca_img_023,ai_first_pass_needs_human_review,dark_window_mood,a3b293336208ece3ca239d2290d73cd958a5f3b980578e633e9015d9f4d5fcce,curated_user_inbox,user_curated_candidate,,[],1280
low,False,"['low_confidence_silence', 'landscape']",Система должна быть осторожной: уверенность в совете низкая.,"Ночное настроение есть, но ясного субъекта мало; лучше не давать категоричный совет.",[],024.jpg,"['step_closer', 'level_horizon']",[],853,docs/cameraanalysis/dataset/inbox/images/024.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],ночной пейзаж с силуэтами пальм,"['Ночное настроение есть, но ясного субъекта мало; лучше не давать категоричный совет.']",mixed,ca_img_024,ai_first_pass_needs_human_review,night_landscape,e068b44cadea11d6a3bfe888d6ec9551f20a92625301c3e87df6a0633ecdb5eb,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['cinematic_depth', 'low_key']",Кадр атмосферный: темнота здесь часть стиля.,Коридор и свет в конце ведут взгляд к маленькому силуэту.,['keep_current_setup'],025.jpg,"['step_closer', 'add_front_fill_light']",[],853,docs/cameraanalysis/dataset/inbox/images/025.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['темнота работает как художественный стиль'],силуэт человека в коридоре,[],good,ca_img_025,ai_first_pass_needs_human_review,cinematic_corridor_silhouette,dfefb0a68dec266abd72228eefddbe4ea7016e215a83b81a67cb7f3ef7880609,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_light', 'portrait']",Кадр уже читается хорошо.,Световой рисунок выделяет лицо; тени художественные.,['keep_current_setup'],026.jpg,"['add_front_fill_light', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/026.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['лицо или герой читается'],женщина с полосами света,[],good,ca_img_026,ai_first_pass_needs_human_review,dramatic_portrait,6b6b432e2e3e24ba721f3d22cf6e16c92968d9e0298b8467cc96c0e253eecd83,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['cinematic', 'object_and_person']",Кадр уже читается хорошо.,Камера и силуэт создают ясную тему кадра.,['keep_current_setup'],027.jpg,"['add_front_fill_light', 'simplify_background']",[],853,docs/cameraanalysis/dataset/inbox/images/027.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],операторская камера и человек в зеленом свете,[],good,ca_img_027,ai_first_pass_needs_human_review,cinematic_bts_camera,991895e15ac5e883e856c894b19315d0acacd4d870bbb8d9684e17db5c1dd674,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['street_night', 'cinematic']",Оставь кадр: ночной свет работает как стиль.,Световые акценты отделяют сцену и задают атмосферу.,['keep_current_setup'],028.jpg,"['level_horizon', 'add_front_fill_light']",[],853,docs/cameraanalysis/dataset/inbox/images/028.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],машина и человек у здания ночью,[],good,ca_img_028,ai_first_pass_needs_human_review,night_street_scene,2863dff4e728f526a7e833ef095b597000893cbd20714bba289ef964516a79f1,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['interior', 'low_key']",Кадр атмосферный: темнота здесь часть стиля.,"Цветовая панель держит внимание, темнота поддерживает интерьерный mood.",['keep_current_setup'],029.jpg,"['add_front_fill_light', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/029.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['темнота работает как художественный стиль'],диван и цветная световая панель,[],good,ca_img_029,ai_first_pass_needs_human_review,interior_mood_light,f4e0e2308678966f541a35ba4af2ab226032227785dc145ed3e3bd3b5daa2190,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['stage', 'light_separation']",Кадр хорошо отделяет героя светом.,Прожектор отделяет героя от сцены и создает глубину.,['keep_current_setup'],030.jpg,"['add_front_fill_light', 'simplify_background']",[],853,docs/cameraanalysis/dataset/inbox/images/030.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],человек под прожектором,[],good,ca_img_030,ai_first_pass_needs_human_review,stage_single_subject,572d68baec81266b51e52bdf6b3fc33c78b89e573fe8fd66879b4c7aa3dbc362,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_object', 'object_still_life']",Предметный кадр читается хорошо.,"Лампа, камера и растение создают сбалансированный предметный кадр.",['keep_current_setup'],031.jpg,"['remove_distracting_object', 'step_closer']",[],899,docs/cameraanalysis/dataset/inbox/images/031.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['предмет является ясным визуальным центром'],"камера, лампа и растение",[],good,ca_img_031,ai_first_pass_needs_human_review,object_still_life,0092b45bda3bf35031015162375d26f20fdd64f12306be347d046374ffe20c3c,curated_user_inbox,user_curated_candidate,,[],1280
low,False,"['low_confidence_silence', 'abstract']",Система должна быть осторожной: уверенность в совете низкая.,"Абстракция может быть намеренной, но субъект неясен.",[],032.jpg,"['level_horizon', 'step_closer', 'simplify_background']",[],853,docs/cameraanalysis/dataset/inbox/images/032.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],размытый цветовой фрагмент,"['Абстракция может быть намеренной, но субъект неясен.']",mixed,ca_img_032,ai_first_pass_needs_human_review,abstract_blur,be6446a8d9ed12c9a7738973d945931b2d15a609586b3c089c08036174a1bfa6,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['background_clutter', 'group_subject']","Возможно, стоит упростить фон или выбрать главный центр.","Сцена интересная, но люди и предметы конкурируют за внимание.",['simplify_background'],033.jpg,['level_horizon'],[],853,docs/cameraanalysis/dataset/inbox/images/033.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],люди в интерьере на съемке,['фон или толпа конкурируют с главным субъектом'],mixed,ca_img_033,ai_first_pass_needs_human_review,film_set_group,aa715056c198373d59b8d8db3a66b71d0a78dd23734ef64de8f591b45532fc36,curated_user_inbox,user_curated_candidate,,['background_clutter'],1280
medium,False,"['interior', 'object_light']",Предметный кадр читается хорошо.,Лампа является главным световым центром.,['keep_current_setup'],034.jpg,"['add_front_fill_light', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/034.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['предмет является ясным визуальным центром'],лампа и темный интерьер,[],good,ca_img_034,ai_first_pass_needs_human_review,interior_lamp_mood,d5003d9d1e7db32620c7ebee5d6b6c9fceb803e0381643901a0e59f0b2ba41dd,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['low_light', 'subject_visibility']","Возможно, субъекту нужен мягкий свет.","Машина почти теряется в темноте, нужен слабый акцентный свет.","['add_front_fill_light', 'add_background_light']",035.jpg,['level_horizon'],[],561,docs/cameraanalysis/dataset/inbox/images/035.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],машина в темной сцене,['субъект или сцена недостаточно освещены'],mixed,ca_img_035,ai_first_pass_needs_human_review,night_car_detail,9ceecd8bf91bef7eefbc70aa632d8165ef9bf1ff0ce0e170edea5a65edba778e,curated_user_inbox,user_curated_candidate,,['low_light'],1280
medium,False,"['object_still_life', 'low_key']",Предметный кадр читается хорошо.,Свет выделяет книгу и фактуру страницы.,['keep_current_setup'],036.jpg,"['add_front_fill_light', 'simplify_background']",[],853,docs/cameraanalysis/dataset/inbox/images/036.jpg,codex_visual_contact_sheet_review_2026-05-21,,,"['предмет является ясным визуальным центром', 'темнота работает как художественный стиль']",книга в темном свете,[],good,ca_img_036,ai_first_pass_needs_human_review,object_detail_book,d2fad1ad1ecc1d8db33c65012bfb8d8878d09b495efa1bac293042688bda480d,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['interior', 'low_key']",Кадр атмосферный: темнота здесь часть стиля.,Окно создает сильный световой центр и глубину.,['keep_current_setup'],037.jpg,"['add_front_fill_light', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/037.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['темнота работает как художественный стиль'],интерьер с окном и предметами,[],good,ca_img_037,ai_first_pass_needs_human_review,interior_window_mood,18e1d24b11de4392116538e385ff2db73767a504f08461079dc54eb0c17fbb52,curated_user_inbox,user_curated_candidate,,[],1280
low,False,"['low_confidence_silence', 'abstract']",Кадр смазан — попробуй зафиксировать камеру.,Сильный смаз и отсутствие субъекта делают совет низкоуверенным.,[],038.jpg,"['level_horizon', 'step_closer']","['stabilize_camera', 'refocus_subject']",857,docs/cameraanalysis/dataset/inbox/images/038.jpg,codex_visual_contact_sheet_review_2026-05-21,,,[],размытый темный фрагмент,['Сильный смаз и отсутствие субъекта делают совет низкоуверенным.'],mixed,ca_img_038,ai_first_pass_needs_human_review,abstract_motion_blur,77bbd0f9d0fb9e5c23d9498dbd48c1fa72d9e9f19e41fa53bc0a5118ec9ccd7f,curated_user_inbox,user_curated_candidate,,"['motion_blur', 'defocus']",1280
medium,False,"['architecture', 'low_key']",Кадр атмосферный: темнота здесь часть стиля.,Светящиеся окна создают структуру и настроение.,['keep_current_setup'],039.jpg,"['add_front_fill_light', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/039.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['темнота работает как художественный стиль'],темное здание с окнами,[],good,ca_img_039,ai_first_pass_needs_human_review,night_architecture,21a2a2460d2004a8b28cd61b53f5997a6858a6bf841ff0a5961ab3948854fdcb,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_backlight', 'silhouette']",Кадр сильный: контровой свет отделяет героя.,Контровой свет отделяет силуэт; дымка и дождь усиливают глубину.,['keep_current_setup'],040.jpg,"['add_front_fill_light', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/040.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],силуэт человека под зонтом в гараже,[],good,ca_img_040,ai_first_pass_needs_human_review,rainy_backlit_silhouette,7d4552045ef4033722d43a157391073e4cea4813f4f4773f00f5759423421ba7,curated_user_inbox,user_curated_candidate,,[],1280
high,True,"['demo_good_portrait', 'night']",Кадр уже читается хорошо.,Блики и ночной свет помогают отделить героя.,['keep_current_setup'],041.jpg,"['remove_background_hotspot', 'add_front_fill_light']",[],720,docs/cameraanalysis/dataset/inbox/images/041.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],женщина на улице ночью,[],good,ca_img_041,ai_first_pass_needs_human_review,night_city_portrait,acea88c2139522e893e792663a457f9af2ba386e85198ca5a144a19de624adfb,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['portrait', 'black_white']",Кадр читается хорошо: монохром подчеркивает форму.,Монохром снижает шум фона и выделяет лицо.,['keep_current_setup'],042.jpg,"['simplify_background', 'step_closer']",[],853,docs/cameraanalysis/dataset/inbox/images/042.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['лицо или герой читается'],мужчина в черно-белом кадре,[],good,ca_img_042,ai_first_pass_needs_human_review,black_white_portrait,36618de765ce913edde56a13996b605af63cc4f9f142f3e53a8bb55aa449b721,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['street', 'group_subject']","Группа читается хорошо, сильных исправлений не нужно.","Люди отделены от улицы, перспектива поддерживает сцену.",['keep_current_setup'],043.jpg,"['step_closer', 'simplify_background']",[],961,docs/cameraanalysis/dataset/inbox/images/043.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['несколько людей читаются как группа'],люди на городской улице,[],good,ca_img_043,ai_first_pass_needs_human_review,street_group_portrait,5b0867ac1fabc9b47379dfd2f44fc7823e8f901e4b6a9bf3826488b372fbd5c3,curated_user_inbox,user_curated_candidate,,[],1280
medium,False,"['street_night', 'neon']",Оставь кадр: ночной свет работает как стиль.,"Неон и отражения работают как стиль, а не как мусорный фон.",['keep_current_setup'],044.jpg,"['simplify_background', 'add_front_fill_light']",[],853,docs/cameraanalysis/dataset/inbox/images/044.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],женщина у неонового окна,[],good,ca_img_044,ai_first_pass_needs_human_review,neon_street_portrait,fc0c4e75551b06cf3eaf2951bc57ebbaa21bf669e52b50e16aa9f837a2d79741,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['wide_negative_space', 'street_night']",Оставь широкий план: пространство здесь работает на историю.,Маленький субъект и пространство создают настроение.,['keep_current_setup'],045.jpg,"['step_closer', 'add_front_fill_light']",[],902,docs/cameraanalysis/dataset/inbox/images/045.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['пространство работает на историю'],одинокий человек на ночной улице,[],good,ca_img_045,ai_first_pass_needs_human_review,night_wide_portrait,984ab50d6f1328675cf35eaf89b7020ae0a563898f18e1b4fbe8f12b86c5d420,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['street', 'black_white']",Кадр читается хорошо: монохром подчеркивает форму.,"Арка, свет и фигуры дают глубину.",['keep_current_setup'],046.jpg,"['step_closer', 'simplify_background']",[],851,docs/cameraanalysis/dataset/inbox/images/046.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['композиция и свет поддерживают замысел'],уличные музыканты в арке,[],good,ca_img_046,ai_first_pass_needs_human_review,black_white_street_scene,a732d7a616f5521ac96ad2671bf009a0a1b110de5485a014d35caf9130a4035b,curated_user_inbox,user_curated_candidate,,[],1280
high,False,"['portrait', 'street']",Кадр уже читается хорошо.,Субъект отделен от городского фона.,['keep_current_setup'],047.jpg,"['step_closer', 'simplify_background']",[],853,docs/cameraanalysis/dataset/inbox/images/047.jpg,codex_visual_contact_sheet_review_2026-05-21,,,['лицо или герой читается'],девушка на улице,[],good,ca_img_047,ai_first_pass_needs_human_review,street_single_portrait,93ce0d013be49fea276ac5337a3cd148a71c7ced99eb993416d896311cc63319,curated_user_inbox,user_curated_candidate,,[],1280
