record_id,filename,quality_label,scene_type,primary_subject,expected_semantic_actions,future_needed_actions,forbidden_actions,confidence_target,demo_priority,review_status
ca_img_021,021.jpg,good,dark_interior_window,темная комната с окном,keep_current_setup,,add_front_fill_light|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_022,022.jpg,mixed,cinematic_portrait_low_light,женщина в темном свете,add_front_fill_light,,level_horizon|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_023,023.jpg,good,dark_window_mood,темное окно в интерьере,keep_current_setup,,add_front_fill_light|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_024,024.jpg,mixed,night_landscape,ночной пейзаж с силуэтами пальм,,,step_closer|level_horizon,low,False,ai_first_pass_needs_human_review
ca_img_025,025.jpg,good,cinematic_corridor_silhouette,силуэт человека в коридоре,keep_current_setup,,step_closer|add_front_fill_light,high,False,ai_first_pass_needs_human_review
ca_img_026,026.jpg,good,dramatic_portrait,женщина с полосами света,keep_current_setup,,add_front_fill_light|step_closer,high,True,ai_first_pass_needs_human_review
ca_img_027,027.jpg,good,cinematic_bts_camera,операторская камера и человек в зеленом свете,keep_current_setup,,add_front_fill_light|simplify_background,medium,False,ai_first_pass_needs_human_review
ca_img_028,028.jpg,good,night_street_scene,машина и человек у здания ночью,keep_current_setup,,level_horizon|add_front_fill_light,medium,False,ai_first_pass_needs_human_review
ca_img_029,029.jpg,good,interior_mood_light,диван и цветная световая панель,keep_current_setup,,add_front_fill_light|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_030,030.jpg,good,stage_single_subject,человек под прожектором,keep_current_setup,,add_front_fill_light|simplify_background,high,False,ai_first_pass_needs_human_review
ca_img_031,031.jpg,good,object_still_life,"камера, лампа и растение",keep_current_setup,,remove_distracting_object|step_closer,high,True,ai_first_pass_needs_human_review
ca_img_032,032.jpg,mixed,abstract_blur,размытый цветовой фрагмент,,,level_horizon|step_closer|simplify_background,low,False,ai_first_pass_needs_human_review
ca_img_033,033.jpg,mixed,film_set_group,люди в интерьере на съемке,simplify_background,,level_horizon,medium,False,ai_first_pass_needs_human_review
ca_img_034,034.jpg,good,interior_lamp_mood,лампа и темный интерьер,keep_current_setup,,add_front_fill_light|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_035,035.jpg,mixed,night_car_detail,машина в темной сцене,add_front_fill_light|add_background_light,,level_horizon,medium,False,ai_first_pass_needs_human_review
ca_img_036,036.jpg,good,object_detail_book,книга в темном свете,keep_current_setup,,add_front_fill_light|simplify_background,medium,False,ai_first_pass_needs_human_review
ca_img_037,037.jpg,good,interior_window_mood,интерьер с окном и предметами,keep_current_setup,,add_front_fill_light|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_038,038.jpg,mixed,abstract_motion_blur,размытый темный фрагмент,,stabilize_camera|refocus_subject,level_horizon|step_closer,low,False,ai_first_pass_needs_human_review
ca_img_039,039.jpg,good,night_architecture,темное здание с окнами,keep_current_setup,,add_front_fill_light|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_040,040.jpg,good,rainy_backlit_silhouette,силуэт человека под зонтом в гараже,keep_current_setup,,add_front_fill_light|step_closer,high,True,ai_first_pass_needs_human_review
ca_img_041,041.jpg,good,night_city_portrait,женщина на улице ночью,keep_current_setup,,remove_background_hotspot|add_front_fill_light,high,True,ai_first_pass_needs_human_review
ca_img_042,042.jpg,good,black_white_portrait,мужчина в черно-белом кадре,keep_current_setup,,simplify_background|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_043,043.jpg,good,street_group_portrait,люди на городской улице,keep_current_setup,,step_closer|simplify_background,medium,False,ai_first_pass_needs_human_review
ca_img_044,044.jpg,good,neon_street_portrait,женщина у неонового окна,keep_current_setup,,simplify_background|add_front_fill_light,medium,False,ai_first_pass_needs_human_review
ca_img_045,045.jpg,good,night_wide_portrait,одинокий человек на ночной улице,keep_current_setup,,step_closer|add_front_fill_light,high,False,ai_first_pass_needs_human_review
ca_img_046,046.jpg,good,black_white_street_scene,уличные музыканты в арке,keep_current_setup,,step_closer|simplify_background,high,False,ai_first_pass_needs_human_review
ca_img_047,047.jpg,good,street_single_portrait,девушка на улице,keep_current_setup,,step_closer|simplify_background,high,False,ai_first_pass_needs_human_review
ca_img_048,048.jpg,good,wide_spotlight_subject,человек под светом у стены,keep_current_setup,,step_closer|add_front_fill_light,high,True,ai_first_pass_needs_human_review
ca_img_049,049.jpg,good,night_smoke_portrait,мужчина в дымке ночью,keep_current_setup,,simplify_background|add_front_fill_light,high,False,ai_first_pass_needs_human_review
ca_img_050,050.jpg,good,night_corridor_silhouette,силуэт человека в темном проходе,keep_current_setup,,add_front_fill_light|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_051,051.jpg,good,backlit_portrait,мужчина с ярким контровым светом,keep_current_setup,,remove_background_hotspot|add_front_fill_light,high,True,ai_first_pass_needs_human_review
ca_img_052,052.jpg,good,black_white_street_landscape,городская улица в монохроме,keep_current_setup,,level_horizon|step_closer,medium,False,ai_first_pass_needs_human_review
ca_img_053,053.jpg,good,street_back_view,человек спиной в городе,keep_current_setup,,step_closer|simplify_background,medium,False,ai_first_pass_needs_human_review
ca_img_054,054.jpg,good,black_white_depth_frame,человек в глубине через проем,keep_current_setup,,step_closer|add_front_fill_light,high,False,ai_first_pass_needs_human_review
ca_img_055,055.jpg,good,night_establishing_street,ночная городская улица,keep_current_setup,,step_closer|add_front_fill_light,medium,False,ai_first_pass_needs_human_review
ca_img_056,056.jpg,good,brick_wall_portrait,человек у кирпичной стены,keep_current_setup,,simplify_background|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_057,057.jpg,good,night_street_detail,ночная улица со светофором,keep_current_setup,,step_closer|add_front_fill_light,medium,False,ai_first_pass_needs_human_review
ca_img_058,058.jpg,bad,technical_failure_indoor,размытая сцена в помещении,,stabilize_camera|reduce_exposure,level_horizon|shift_frame_left,high,False,ai_first_pass_needs_human_review
ca_img_059,059.bmp,bad,technical_failure_night_object,размытый светящийся объект ночью,,stabilize_camera|refocus_subject,shift_frame_left|level_horizon,high,False,ai_first_pass_needs_human_review
ca_img_060,060.jpg,bad,technical_failure_room,размытая комната с телевизором,,stabilize_camera|refocus_subject,keep_current_setup|shift_frame_right,high,False,ai_first_pass_needs_human_review
ca_img_061,061.jpg,bad,technical_failure_object,размытые монеты или предметы,,refocus_subject|stabilize_camera,step_closer|keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_062,062.jpg,bad,technical_failure_occluded_overexposed,частично перекрытый пересвеченный кадр,,avoid_occlusion|reduce_exposure,shift_frame_left|level_horizon,high,False,ai_first_pass_needs_human_review
ca_img_063,063.jpg,bad,technical_failure_object,предметы на полу вне фокуса,,refocus_subject,keep_current_setup|level_horizon,high,False,ai_first_pass_needs_human_review
ca_img_064,064.jpg,bad,technical_failure_stage,сцена с сильным пересветом,remove_background_hotspot,reduce_exposure|stabilize_camera,keep_current_setup|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_065,065.bmp,bad,technical_failure_outdoor,человек в пересвеченном парке,change_camera_angle,reduce_exposure,keep_current_setup|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_066,066.jpg,bad,technical_failure_object,размытые монеты,,refocus_subject|stabilize_camera,step_closer|keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_067,067.jpg,bad,no_clear_focus_texture,пестрая текстура без субъекта,simplify_background,,level_horizon|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_068,068.bmp,bad,technical_failure_landscape,темный парк с деревьями,,increase_exposure,level_horizon|keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_069,069.jpg,bad,technical_failure_stage,размытая пересвеченная сцена,remove_background_hotspot,stabilize_camera|reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_070,070.bmp,bad,technical_failure_classroom,человек спиной в размытой комнате,,stabilize_camera|refocus_subject,shift_frame_left|keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_071,071.jpg,bad,technical_failure_object,оранжевый объект со световыми следами,,stabilize_camera|refocus_subject,step_closer|keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_072,072.jpg,bad,technical_failure_wildlife,птица или объект за деревом вне фокуса,change_camera_angle,refocus_subject|avoid_occlusion,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_073,073.jpg,bad,technical_failure_stage,пересвеченная сцена,remove_background_hotspot,reduce_exposure|stabilize_camera,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_074,074.bmp,bad,technical_failure_interior,перевернутый/размытый интерьер,level_horizon,stabilize_camera,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_075,075.bmp,bad,technical_failure_landscape,пересвеченный парк,change_camera_angle,reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_076,076.bmp,bad,technical_failure_moving_person,размытый движущийся человек,wait_for_background_clearance,stabilize_camera,level_horizon|shift_frame_left,high,False,ai_first_pass_needs_human_review
ca_img_077,077.jpg,bad,technical_failure_night_crowd,толпа ночью,simplify_background,increase_exposure|stabilize_camera|reduce_iso_noise,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_078,078.bmp,bad,technical_failure_portrait,размытый профиль человека,,stabilize_camera|refocus_subject,shift_frame_left|keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_079,079.jpg,bad,technical_failure_pet,кот на кровати вне фокуса,,refocus_subject,keep_current_setup|simplify_background,high,False,ai_first_pass_needs_human_review
ca_img_080,080.jpg,bad,technical_failure_stage,сцена с маленькими фигурами и ярким светом,step_closer|remove_background_hotspot,reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_081,081.jpg,bad,technical_failure_night_lights,ночные световые следы,,stabilize_camera,level_horizon|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_082,082.bmp,bad,technical_failure_landscape,размытый сумеречный пейзаж,simplify_background,stabilize_camera,level_horizon,medium,False,ai_first_pass_needs_human_review
ca_img_083,083.bmp,bad,technical_failure_night_people,люди в темном парке,add_front_fill_light,increase_exposure|reduce_iso_noise,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_084,084.jpg,bad,technical_failure_group_flash,группа людей в ярком помещении,wait_for_background_clearance,stabilize_camera|reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_085,085.bmp,bad,weak_subject_house,дом и дерево в слабом кадре,step_closer|simplify_background,,keep_current_setup,medium,False,ai_first_pass_needs_human_review
ca_img_086,086.jpg,bad,technical_failure_night_city,темный ночной вид,,increase_exposure|stabilize_camera,keep_current_setup|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_087,087.jpg,bad,technical_failure_stage,пересвеченная сцена,remove_background_hotspot,reduce_exposure|stabilize_camera,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_088,088.jpg,bad,technical_failure_stage_audience,аудитория и пересвеченная сцена,change_camera_angle,reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_089,089.jpg,bad,technical_failure_stage,пересвеченная сцена с ребенком у края,remove_background_hotspot,reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_090,090.jpg,bad,technical_failure_car_street,размытая улица из машины,,stabilize_camera,level_horizon|keep_current_setup,medium,False,ai_first_pass_needs_human_review
ca_img_091,091.jpg,bad,technical_failure_stage_light_trails,сцена со световыми следами,remove_background_hotspot,stabilize_camera|reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_092,092.bmp,bad,technical_failure_flash_group,группа людей со вспышкой,step_back,stabilize_camera|reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_093,093.bmp,bad,technical_failure_park_people,люди в темном парке,step_closer|add_front_fill_light,increase_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_094,094.jpg,bad,technical_failure_night_architecture,размытое ночное здание,,stabilize_camera|reduce_iso_noise,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_095,095.bmp,mixed,group_selfie_low_light,группа людей в клубе,step_back,reduce_iso_noise|stabilize_camera,keep_current_setup|level_horizon,medium,False,ai_first_pass_needs_human_review
ca_img_096,096.bmp,mixed,distant_person_interior,человек в пустом коридоре,step_closer,,level_horizon,medium,False,ai_first_pass_needs_human_review
ca_img_097,097.bmp,bad,technical_failure_crowd,размытая толпа,wait_for_background_clearance|simplify_background,stabilize_camera,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_098,098.bmp,bad,technical_failure_street,размытая дорога и машины,simplify_background,stabilize_camera|refocus_subject,keep_current_setup,medium,False,ai_first_pass_needs_human_review
ca_img_099,099.jpg,bad,technical_failure_party_stage,люди на вечеринке с пересветом,simplify_background|remove_background_hotspot,reduce_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_100,100.jpg,bad,technical_failure_pet,кот не в фокусе,,refocus_subject|stabilize_camera,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_101,101.jpg,mixed,object_color_cast,красный предмет на темном фоне,add_front_fill_light,reduce_exposure,keep_current_setup,medium,False,ai_first_pass_needs_human_review
ca_img_102,102.jpg,bad,technical_failure_night_street,ночная улица с неоном,remove_background_hotspot,stabilize_camera|reduce_exposure|reduce_iso_noise,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_103,103.bmp,bad,technical_failure_dark_interior,очень темная комната с окнами,,increase_exposure,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_104,104.jpg,bad,technical_failure_club_crowd,темный клуб с толпой,simplify_background|wait_for_background_clearance,increase_exposure|reduce_iso_noise,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_105,105.bmp,bad,technical_failure_low_contrast,мутная/подводная сцена,,refocus_subject|clean_lens,level_horizon|step_closer,high,False,ai_first_pass_needs_human_review
ca_img_106,106.bmp,bad,technical_failure_neon_sign,пересвеченная неоновая вывеска,remove_background_hotspot,reduce_exposure|stabilize_camera,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_107,107.jpg,bad,technical_failure_club_street,темная клубная сцена с толпой,simplify_background|wait_for_background_clearance,increase_exposure|reduce_iso_noise,keep_current_setup,high,False,ai_first_pass_needs_human_review
ca_img_108,108.jpg,good,cinematic_promo_frame,мужчина на пляже,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_109,109.jpg,good,cinematic_promo_frame,ребёнок в автомобиле,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_110,110.jpg,good,cinematic_promo_frame,героиня на фоне огня,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_111,111.jpg,good,cinematic_promo_frame,персонажи в коридоре,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_112,112.jpg,good,cinematic_promo_frame,персонажи в тёмной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_113,113.jpg,good,cinematic_promo_frame,пара персонажей в помещении,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_114,114.jpg,good,cinematic_promo_frame,мужчина в тёплом свете,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_115,115.jpg,good,cinematic_promo_frame,два персонажа в помещении,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_116,116.jpg,good,cinematic_promo_frame,персонаж в пустынном пространстве,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_117,117.jpg,good,cinematic_promo_frame,персонаж в фантастической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_118,118.jpg,good,cinematic_promo_frame,мужчина в контровом свете,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_119,119.jpg,good,cinematic_promo_frame,ребёнок в портретной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_120,120.jpg,good,cinematic_promo_frame,персонаж в фантастической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_121,121.jpg,good,cinematic_promo_frame,женщина в светлой сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_122,122.jpg,good,cinematic_promo_frame,анимационный персонаж,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_123,123.jpg,good,cinematic_promo_frame,графический промо-кадр,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_124,124.jpg,good,cinematic_promo_frame,два персонажа в военной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_125,125.jpg,good,cinematic_promo_frame,крупный фантастический объект,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_126,126.jpg,good,cinematic_promo_frame,персонаж в драматической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_127,127.jpg,good,cinematic_promo_frame,женщина в крупном плане,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_128,128.jpg,good,cinematic_promo_frame,мужчина в портретной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_129,129.jpg,good,cinematic_promo_frame,персонаж в драматической сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_130,130.jpg,good,cinematic_promo_frame,группа персонажей в офисной сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_131,131.jpg,good,cinematic_promo_frame,персонажи в диалоговой сцене,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_132,132.jpg,good,cinematic_promo_frame,женщина в драматическом крупном плане,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,medium,True,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_133,133.jpg,good,cinematic_promo_frame,мужчина в автомобиле,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_134,134.jpg,good,cinematic_promo_frame,мужчина у автомобиля,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,False,cinematic_preservation_ai_first_pass_needs_human_review
ca_img_135,135.jpg,good,cinematic_promo_frame,мужчина на городской улице,keep_current_setup,,shift_frame_left|shift_frame_right|shift_frame_up|shift_frame_down|step_back|step_closer|change_camera_angle|level_horizon|add_front_fill_light|add_background_light|remove_background_hotspot|simplify_background|wait_for_background_clearance|remove_distracting_object,high,True,cinematic_preservation_ai_first_pass_needs_human_review
