record_id,filename,image_path,source_bucket,source_dataset,width,height,sha256,quality_label,scene_type,primary_subject,positive_factors,problems,technical_quality_defects,expected_live_tip,expected_pause_summary,expected_semantic_actions,future_needed_actions,forbidden_actions,confidence_target,demo_priority,eval_tags,review_status,label_source,synthetic_recipe,parent_record_id,parent_filename
ca_img_014,014.jpeg,docs/cameraanalysis/dataset/inbox/images/014.jpeg,curated_user_inbox,user_curated_candidate,1280,721,f37e06d77eae55bf5701bd026f073b97b20c81eb1b3ef66fd7a4886b58ea96b1,mixed,event_group_scene,толпа на мероприятии,[],"[""фон или толпа конкурируют с главным субъектом""]","[""background_clutter""]","Возможно, стоит упростить фон или выбрать главный центр.",Много конкурирующих лиц и жестов; лучше дождаться более чистого момента.,"[""wait_for_background_clearance"", ""simplify_background""]",[],"[""level_horizon""]",medium,False,"[""group_subject"", ""background_clutter""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_015,015.jpeg,docs/cameraanalysis/dataset/inbox/images/015.jpeg,curated_user_inbox,user_curated_candidate,1280,720,655f1cf9b8d4fa02d44c7a93473d63fb385dd9d88a6cd221bb398bb1403795f6,good,stage_group_composition,группа с повязками на сцене,"[""композиция и свет поддерживают замысел""]",[],[],Кадр уже читается хорошо.,Симметрия и повтор жестов дают ясную групповую форму.,"[""keep_current_setup""]",[],"[""step_closer"", ""simplify_background""]",high,True,"[""demo_good_group"", ""composition""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_016,016.jpeg,docs/cameraanalysis/dataset/inbox/images/016.jpeg,curated_user_inbox,user_curated_candidate,1280,750,8a769279a38742f8819e5ac34c24ce8aa7a378054369e5bad6b269a5f9659e40,good,event_group_conversation,женщины на мероприятии,"[""несколько людей читаются как группа""]",[],[],"Группа читается хорошо, сильных исправлений не нужно.","Группа читается, контекст мероприятия понятен.","[""keep_current_setup""]",[],"[""shift_frame_left"", ""shift_frame_right""]",medium,False,"[""group_subject""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_017,017.jpeg,docs/cameraanalysis/dataset/inbox/images/017.jpeg,curated_user_inbox,user_curated_candidate,1280,717,eb63186660ba0b2298ce854f05247000a5629cc9337bdae2d6a6ade871d5450e,good,dialogue_two_person,двое мужчин в разговоре,"[""несколько людей читаются как группа""]",[],[],Кадр уже работает как диалоговая сцена.,"Оба собеседника видны, диалог читается.","[""keep_current_setup""]",[],"[""step_closer"", ""simplify_background""]",high,False,"[""dialogue"", ""group_subject""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_018,018.jpeg,docs/cameraanalysis/dataset/inbox/images/018.jpeg,curated_user_inbox,user_curated_candidate,1280,716,cda59574fa35bb9fee77b7db9d35e846b11e2d94955d4fa8ec044a184366a4e5,good,cinematic_single_portrait,мужчина с газетой в тени,"[""темнота работает как художественный стиль""]",[],[],Кадр читается хорошо: герой выделен светом и цветом.,Тень и низкий ключ являются художественным приемом.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""level_horizon""]",high,True,"[""demo_good_cinematic"", ""avoid_too_dark_false_positive""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_019,019.jpg,docs/cameraanalysis/dataset/inbox/images/019.jpg,curated_user_inbox,user_curated_candidate,1280,868,0a271267b7481fe1d03fa811571261b23901205fe5047b4984a284a3911b2424,good,dark_interior_mood,темная комната с фигурой у окна,"[""композиция и свет поддерживают замысел""]",[],[],Кадр уже читается хорошо.,"Световые пятна ведут взгляд, темнота создает атмосферу.","[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",high,True,"[""demo_good_low_key"", ""interior""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_020,020.jpg,docs/cameraanalysis/dataset/inbox/images/020.jpg,curated_user_inbox,user_curated_candidate,1280,853,c839892e8ce7e8596d79c9eb33efda950732ea7709df1ea0dca3e6a92ea87602,good,object_still_life,камера и предметы на столе,"[""предмет является ясным визуальным центром""]",[],[],Предметный кадр читается хорошо.,Предметы хорошо подсвечены и собраны в чистую композицию.,"[""keep_current_setup""]",[],"[""simplify_background"", ""step_closer""]",high,True,"[""demo_good_object"", ""object_still_life""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_021,021.jpg,docs/cameraanalysis/dataset/inbox/images/021.jpg,curated_user_inbox,user_curated_candidate,1280,853,b06c7439b60db6e6e4519e144c3fb862779c41fb1425318b1659274cbedd45b9,good,dark_interior_window,темная комната с окном,"[""темнота работает как художественный стиль""]",[],[],Кадр атмосферный: темнота здесь часть стиля.,"Окно является световым центром, темнота работает на настроение.","[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",high,False,"[""low_key"", ""interior""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_022,022.jpg,docs/cameraanalysis/dataset/inbox/images/022.jpg,curated_user_inbox,user_curated_candidate,1280,853,cecb1e6cd20cca3e1b84307ed8ff437e579508f16028fc2b42a8a9fdb89a1f96,mixed,cinematic_portrait_low_light,женщина в темном свете,[],"[""Кадр выразительный, но лицо частично теряется в тени.""]",[],"Возможно, субъекту нужен мягкий свет.","Кадр выразительный, но лицо частично теряется в тени.","[""add_front_fill_light""]",[],"[""level_horizon"", ""step_closer""]",medium,False,"[""portrait"", ""low_key""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_023,023.jpg,docs/cameraanalysis/dataset/inbox/images/023.jpg,curated_user_inbox,user_curated_candidate,1280,849,a3b293336208ece3ca239d2290d73cd958a5f3b980578e633e9015d9f4d5fcce,good,dark_window_mood,темное окно в интерьере,"[""темнота работает как художественный стиль""]",[],[],Кадр атмосферный: темнота здесь часть стиля.,Окно и тьма формируют mood shot без обязательного исправления экспозиции.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",medium,False,"[""low_key"", ""interior""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_024,024.jpg,docs/cameraanalysis/dataset/inbox/images/024.jpg,curated_user_inbox,user_curated_candidate,1280,853,e068b44cadea11d6a3bfe888d6ec9551f20a92625301c3e87df6a0633ecdb5eb,mixed,night_landscape,ночной пейзаж с силуэтами пальм,[],"[""Ночное настроение есть, но ясного субъекта мало; лучше не давать категоричный совет.""]",[],Система должна быть осторожной: уверенность в совете низкая.,"Ночное настроение есть, но ясного субъекта мало; лучше не давать категоричный совет.",[],[],"[""step_closer"", ""level_horizon""]",low,False,"[""low_confidence_silence"", ""landscape""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_025,025.jpg,docs/cameraanalysis/dataset/inbox/images/025.jpg,curated_user_inbox,user_curated_candidate,1280,853,dfefb0a68dec266abd72228eefddbe4ea7016e215a83b81a67cb7f3ef7880609,good,cinematic_corridor_silhouette,силуэт человека в коридоре,"[""темнота работает как художественный стиль""]",[],[],Кадр атмосферный: темнота здесь часть стиля.,Коридор и свет в конце ведут взгляд к маленькому силуэту.,"[""keep_current_setup""]",[],"[""step_closer"", ""add_front_fill_light""]",high,False,"[""cinematic_depth"", ""low_key""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_026,026.jpg,docs/cameraanalysis/dataset/inbox/images/026.jpg,curated_user_inbox,user_curated_candidate,1280,853,6b6b432e2e3e24ba721f3d22cf6e16c92968d9e0298b8467cc96c0e253eecd83,good,dramatic_portrait,женщина с полосами света,"[""лицо или герой читается""]",[],[],Кадр уже читается хорошо.,Световой рисунок выделяет лицо; тени художественные.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",high,True,"[""demo_good_light"", ""portrait""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_027,027.jpg,docs/cameraanalysis/dataset/inbox/images/027.jpg,curated_user_inbox,user_curated_candidate,1280,853,991895e15ac5e883e856c894b19315d0acacd4d870bbb8d9684e17db5c1dd674,good,cinematic_bts_camera,операторская камера и человек в зеленом свете,"[""композиция и свет поддерживают замысел""]",[],[],Кадр уже читается хорошо.,Камера и силуэт создают ясную тему кадра.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""simplify_background""]",medium,False,"[""cinematic"", ""object_and_person""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_028,028.jpg,docs/cameraanalysis/dataset/inbox/images/028.jpg,curated_user_inbox,user_curated_candidate,1280,853,2863dff4e728f526a7e833ef095b597000893cbd20714bba289ef964516a79f1,good,night_street_scene,машина и человек у здания ночью,"[""композиция и свет поддерживают замысел""]",[],[],Оставь кадр: ночной свет работает как стиль.,Световые акценты отделяют сцену и задают атмосферу.,"[""keep_current_setup""]",[],"[""level_horizon"", ""add_front_fill_light""]",medium,False,"[""street_night"", ""cinematic""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_029,029.jpg,docs/cameraanalysis/dataset/inbox/images/029.jpg,curated_user_inbox,user_curated_candidate,1280,853,f4e0e2308678966f541a35ba4af2ab226032227785dc145ed3e3bd3b5daa2190,good,interior_mood_light,диван и цветная световая панель,"[""темнота работает как художественный стиль""]",[],[],Кадр атмосферный: темнота здесь часть стиля.,"Цветовая панель держит внимание, темнота поддерживает интерьерный mood.","[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",medium,False,"[""interior"", ""low_key""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_030,030.jpg,docs/cameraanalysis/dataset/inbox/images/030.jpg,curated_user_inbox,user_curated_candidate,1280,853,572d68baec81266b51e52bdf6b3fc33c78b89e573fe8fd66879b4c7aa3dbc362,good,stage_single_subject,человек под прожектором,"[""композиция и свет поддерживают замысел""]",[],[],Кадр хорошо отделяет героя светом.,Прожектор отделяет героя от сцены и создает глубину.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""simplify_background""]",high,False,"[""stage"", ""light_separation""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_031,031.jpg,docs/cameraanalysis/dataset/inbox/images/031.jpg,curated_user_inbox,user_curated_candidate,1280,899,0092b45bda3bf35031015162375d26f20fdd64f12306be347d046374ffe20c3c,good,object_still_life,"камера, лампа и растение","[""предмет является ясным визуальным центром""]",[],[],Предметный кадр читается хорошо.,"Лампа, камера и растение создают сбалансированный предметный кадр.","[""keep_current_setup""]",[],"[""remove_distracting_object"", ""step_closer""]",high,True,"[""demo_good_object"", ""object_still_life""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_032,032.jpg,docs/cameraanalysis/dataset/inbox/images/032.jpg,curated_user_inbox,user_curated_candidate,1280,853,be6446a8d9ed12c9a7738973d945931b2d15a609586b3c089c08036174a1bfa6,mixed,abstract_blur,размытый цветовой фрагмент,[],"[""Абстракция может быть намеренной, но субъект неясен.""]",[],Система должна быть осторожной: уверенность в совете низкая.,"Абстракция может быть намеренной, но субъект неясен.",[],[],"[""level_horizon"", ""step_closer"", ""simplify_background""]",low,False,"[""low_confidence_silence"", ""abstract""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_033,033.jpg,docs/cameraanalysis/dataset/inbox/images/033.jpg,curated_user_inbox,user_curated_candidate,1280,853,aa715056c198373d59b8d8db3a66b71d0a78dd23734ef64de8f591b45532fc36,mixed,film_set_group,люди в интерьере на съемке,[],"[""фон или толпа конкурируют с главным субъектом""]","[""background_clutter""]","Возможно, стоит упростить фон или выбрать главный центр.","Сцена интересная, но люди и предметы конкурируют за внимание.","[""simplify_background""]",[],"[""level_horizon""]",medium,False,"[""background_clutter"", ""group_subject""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_034,034.jpg,docs/cameraanalysis/dataset/inbox/images/034.jpg,curated_user_inbox,user_curated_candidate,1280,853,d5003d9d1e7db32620c7ebee5d6b6c9fceb803e0381643901a0e59f0b2ba41dd,good,interior_lamp_mood,лампа и темный интерьер,"[""предмет является ясным визуальным центром""]",[],[],Предметный кадр читается хорошо.,Лампа является главным световым центром.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",medium,False,"[""interior"", ""object_light""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_035,035.jpg,docs/cameraanalysis/dataset/inbox/images/035.jpg,curated_user_inbox,user_curated_candidate,1280,561,9ceecd8bf91bef7eefbc70aa632d8165ef9bf1ff0ce0e170edea5a65edba778e,mixed,night_car_detail,машина в темной сцене,[],"[""субъект или сцена недостаточно освещены""]","[""low_light""]","Возможно, субъекту нужен мягкий свет.","Машина почти теряется в темноте, нужен слабый акцентный свет.","[""add_front_fill_light"", ""add_background_light""]",[],"[""level_horizon""]",medium,False,"[""low_light"", ""subject_visibility""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_036,036.jpg,docs/cameraanalysis/dataset/inbox/images/036.jpg,curated_user_inbox,user_curated_candidate,1280,853,d2fad1ad1ecc1d8db33c65012bfb8d8878d09b495efa1bac293042688bda480d,good,object_detail_book,книга в темном свете,"[""предмет является ясным визуальным центром"", ""темнота работает как художественный стиль""]",[],[],Предметный кадр читается хорошо.,Свет выделяет книгу и фактуру страницы.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""simplify_background""]",medium,False,"[""object_still_life"", ""low_key""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_037,037.jpg,docs/cameraanalysis/dataset/inbox/images/037.jpg,curated_user_inbox,user_curated_candidate,1280,853,18e1d24b11de4392116538e385ff2db73767a504f08461079dc54eb0c17fbb52,good,interior_window_mood,интерьер с окном и предметами,"[""темнота работает как художественный стиль""]",[],[],Кадр атмосферный: темнота здесь часть стиля.,Окно создает сильный световой центр и глубину.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",medium,False,"[""interior"", ""low_key""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_038,038.jpg,docs/cameraanalysis/dataset/inbox/images/038.jpg,curated_user_inbox,user_curated_candidate,1280,857,77bbd0f9d0fb9e5c23d9498dbd48c1fa72d9e9f19e41fa53bc0a5118ec9ccd7f,mixed,abstract_motion_blur,размытый темный фрагмент,[],"[""Сильный смаз и отсутствие субъекта делают совет низкоуверенным.""]","[""motion_blur"", ""defocus""]",Кадр смазан — попробуй зафиксировать камеру.,Сильный смаз и отсутствие субъекта делают совет низкоуверенным.,[],"[""stabilize_camera"", ""refocus_subject""]","[""level_horizon"", ""step_closer""]",low,False,"[""low_confidence_silence"", ""abstract""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_039,039.jpg,docs/cameraanalysis/dataset/inbox/images/039.jpg,curated_user_inbox,user_curated_candidate,1280,853,21a2a2460d2004a8b28cd61b53f5997a6858a6bf841ff0a5961ab3948854fdcb,good,night_architecture,темное здание с окнами,"[""темнота работает как художественный стиль""]",[],[],Кадр атмосферный: темнота здесь часть стиля.,Светящиеся окна создают структуру и настроение.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",medium,False,"[""architecture"", ""low_key""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_040,040.jpg,docs/cameraanalysis/dataset/inbox/images/040.jpg,curated_user_inbox,user_curated_candidate,1280,853,7d4552045ef4033722d43a157391073e4cea4813f4f4773f00f5759423421ba7,good,rainy_backlit_silhouette,силуэт человека под зонтом в гараже,"[""композиция и свет поддерживают замысел""]",[],[],Кадр сильный: контровой свет отделяет героя.,Контровой свет отделяет силуэт; дымка и дождь усиливают глубину.,"[""keep_current_setup""]",[],"[""add_front_fill_light"", ""step_closer""]",high,True,"[""demo_good_backlight"", ""silhouette""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_041,041.jpg,docs/cameraanalysis/dataset/inbox/images/041.jpg,curated_user_inbox,user_curated_candidate,1280,720,acea88c2139522e893e792663a457f9af2ba386e85198ca5a144a19de624adfb,good,night_city_portrait,женщина на улице ночью,"[""композиция и свет поддерживают замысел""]",[],[],Кадр уже читается хорошо.,Блики и ночной свет помогают отделить героя.,"[""keep_current_setup""]",[],"[""remove_background_hotspot"", ""add_front_fill_light""]",high,True,"[""demo_good_portrait"", ""night""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_042,042.jpg,docs/cameraanalysis/dataset/inbox/images/042.jpg,curated_user_inbox,user_curated_candidate,1280,853,36618de765ce913edde56a13996b605af63cc4f9f142f3e53a8bb55aa449b721,good,black_white_portrait,мужчина в черно-белом кадре,"[""лицо или герой читается""]",[],[],Кадр читается хорошо: монохром подчеркивает форму.,Монохром снижает шум фона и выделяет лицо.,"[""keep_current_setup""]",[],"[""simplify_background"", ""step_closer""]",high,False,"[""portrait"", ""black_white""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_043,043.jpg,docs/cameraanalysis/dataset/inbox/images/043.jpg,curated_user_inbox,user_curated_candidate,1280,961,5b0867ac1fabc9b47379dfd2f44fc7823e8f901e4b6a9bf3826488b372fbd5c3,good,street_group_portrait,люди на городской улице,"[""несколько людей читаются как группа""]",[],[],"Группа читается хорошо, сильных исправлений не нужно.","Люди отделены от улицы, перспектива поддерживает сцену.","[""keep_current_setup""]",[],"[""step_closer"", ""simplify_background""]",medium,False,"[""street"", ""group_subject""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_044,044.jpg,docs/cameraanalysis/dataset/inbox/images/044.jpg,curated_user_inbox,user_curated_candidate,1280,853,fc0c4e75551b06cf3eaf2951bc57ebbaa21bf669e52b50e16aa9f837a2d79741,good,neon_street_portrait,женщина у неонового окна,"[""композиция и свет поддерживают замысел""]",[],[],Оставь кадр: ночной свет работает как стиль.,"Неон и отражения работают как стиль, а не как мусорный фон.","[""keep_current_setup""]",[],"[""simplify_background"", ""add_front_fill_light""]",medium,False,"[""street_night"", ""neon""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
ca_img_045,045.jpg,docs/cameraanalysis/dataset/inbox/images/045.jpg,curated_user_inbox,user_curated_candidate,1280,902,984ab50d6f1328675cf35eaf89b7020ae0a563898f18e1b4fbe8f12b86c5d420,good,night_wide_portrait,одинокий человек на ночной улице,"[""пространство работает на историю""]",[],[],Оставь широкий план: пространство здесь работает на историю.,Маленький субъект и пространство создают настроение.,"[""keep_current_setup""]",[],"[""step_closer"", ""add_front_fill_light""]",high,False,"[""wide_negative_space"", ""street_night""]",ai_first_pass_needs_human_review,codex_visual_contact_sheet_review_2026-05-21,,,
