record_id,filename,image_path,source_bucket,source_dataset,width,height,quality_label,scene_type,primary_subject,expected_live_tip,expected_pause_summary,expected_semantic_actions,future_needed_actions,forbidden_actions,confidence_target,demo_priority,eval_tags,technical_quality_defects,problems,positive_factors,review_status,sha256
ca_img_011,011.jpeg,docs/cameraanalysis/dataset/inbox/images/011.jpeg,curated_user_inbox,user_curated_candidate,1280,716,good,stage_performance_group,танцоры на сцене,"Группа читается хорошо, сильных исправлений не нужно.",Сценический свет выделяет группу и действие.,keep_current_setup,,remove_background_hotspot|simplify_background,high,False,stage|group_subject,,,несколько людей читаются как группа,ai_first_pass_needs_human_review,9e2b2d999ab1d3a3a91845d4533ed0d1bf15641b2e9a6aa51ee1c0bc2f78b86c
ca_img_012,012.jpeg,docs/cameraanalysis/dataset/inbox/images/012.jpeg,curated_user_inbox,user_curated_candidate,1280,719,good,dialogue_medium_shot,мужчина в диалоге,Кадр уже работает как диалоговая сцена.,Герой и собеседник создают понятную диалоговую сцену.,keep_current_setup,,step_closer|simplify_background,high,False,dialogue|portrait,,,лицо или герой читается,ai_first_pass_needs_human_review,b3cf9571828035b0c31d4385dea318de5f4bc03d1a05317fa50ed7a32b1a09c2
ca_img_013,013.jpeg,docs/cameraanalysis/dataset/inbox/images/013.jpeg,curated_user_inbox,user_curated_candidate,1280,714,mixed,event_group_scene,группа людей на мероприятии,"Возможно, стоит упростить фон или выбрать главный центр.","Событие понятно, но одного сильного центра внимания нет.",simplify_background|shift_frame_right,,level_horizon,medium,False,group_subject|no_clear_focus,no_clear_focus,нет ясного главного субъекта,,ai_first_pass_needs_human_review,ecbd839fb04b8baae6110ce23df862bff31d13ef9b7210ff2ef4bbd8fbdff1ae
ca_img_014,014.jpeg,docs/cameraanalysis/dataset/inbox/images/014.jpeg,curated_user_inbox,user_curated_candidate,1280,721,mixed,event_group_scene,толпа на мероприятии,"Возможно, стоит упростить фон или выбрать главный центр.",Много конкурирующих лиц и жестов; лучше дождаться более чистого момента.,wait_for_background_clearance|simplify_background,,level_horizon,medium,False,group_subject|background_clutter,background_clutter,фон или толпа конкурируют с главным субъектом,,ai_first_pass_needs_human_review,f37e06d77eae55bf5701bd026f073b97b20c81eb1b3ef66fd7a4886b58ea96b1
ca_img_015,015.jpeg,docs/cameraanalysis/dataset/inbox/images/015.jpeg,curated_user_inbox,user_curated_candidate,1280,720,good,stage_group_composition,группа с повязками на сцене,Кадр уже читается хорошо.,Симметрия и повтор жестов дают ясную групповую форму.,keep_current_setup,,step_closer|simplify_background,high,True,demo_good_group|composition,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,655f1cf9b8d4fa02d44c7a93473d63fb385dd9d88a6cd221bb398bb1403795f6
ca_img_016,016.jpeg,docs/cameraanalysis/dataset/inbox/images/016.jpeg,curated_user_inbox,user_curated_candidate,1280,750,good,event_group_conversation,женщины на мероприятии,"Группа читается хорошо, сильных исправлений не нужно.","Группа читается, контекст мероприятия понятен.",keep_current_setup,,shift_frame_left|shift_frame_right,medium,False,group_subject,,,несколько людей читаются как группа,ai_first_pass_needs_human_review,8a769279a38742f8819e5ac34c24ce8aa7a378054369e5bad6b269a5f9659e40
ca_img_017,017.jpeg,docs/cameraanalysis/dataset/inbox/images/017.jpeg,curated_user_inbox,user_curated_candidate,1280,717,good,dialogue_two_person,двое мужчин в разговоре,Кадр уже работает как диалоговая сцена.,"Оба собеседника видны, диалог читается.",keep_current_setup,,step_closer|simplify_background,high,False,dialogue|group_subject,,,несколько людей читаются как группа,ai_first_pass_needs_human_review,eb63186660ba0b2298ce854f05247000a5629cc9337bdae2d6a6ade871d5450e
ca_img_018,018.jpeg,docs/cameraanalysis/dataset/inbox/images/018.jpeg,curated_user_inbox,user_curated_candidate,1280,716,good,cinematic_single_portrait,мужчина с газетой в тени,Кадр читается хорошо: герой выделен светом и цветом.,Тень и низкий ключ являются художественным приемом.,keep_current_setup,,add_front_fill_light|level_horizon,high,True,demo_good_cinematic|avoid_too_dark_false_positive,,,темнота работает как художественный стиль,ai_first_pass_needs_human_review,cda59574fa35bb9fee77b7db9d35e846b11e2d94955d4fa8ec044a184366a4e5
ca_img_019,019.jpg,docs/cameraanalysis/dataset/inbox/images/019.jpg,curated_user_inbox,user_curated_candidate,1280,868,good,dark_interior_mood,темная комната с фигурой у окна,Кадр уже читается хорошо.,"Световые пятна ведут взгляд, темнота создает атмосферу.",keep_current_setup,,add_front_fill_light|step_closer,high,True,demo_good_low_key|interior,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,0a271267b7481fe1d03fa811571261b23901205fe5047b4984a284a3911b2424
ca_img_020,020.jpg,docs/cameraanalysis/dataset/inbox/images/020.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,object_still_life,камера и предметы на столе,Предметный кадр читается хорошо.,Предметы хорошо подсвечены и собраны в чистую композицию.,keep_current_setup,,simplify_background|step_closer,high,True,demo_good_object|object_still_life,,,предмет является ясным визуальным центром,ai_first_pass_needs_human_review,c839892e8ce7e8596d79c9eb33efda950732ea7709df1ea0dca3e6a92ea87602
ca_img_021,021.jpg,docs/cameraanalysis/dataset/inbox/images/021.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,dark_interior_window,темная комната с окном,Кадр атмосферный: темнота здесь часть стиля.,"Окно является световым центром, темнота работает на настроение.",keep_current_setup,,add_front_fill_light|step_closer,high,False,low_key|interior,,,темнота работает как художественный стиль,ai_first_pass_needs_human_review,b06c7439b60db6e6e4519e144c3fb862779c41fb1425318b1659274cbedd45b9
ca_img_022,022.jpg,docs/cameraanalysis/dataset/inbox/images/022.jpg,curated_user_inbox,user_curated_candidate,1280,853,mixed,cinematic_portrait_low_light,женщина в темном свете,"Возможно, субъекту нужен мягкий свет.","Кадр выразительный, но лицо частично теряется в тени.",add_front_fill_light,,level_horizon|step_closer,medium,False,portrait|low_key,,"Кадр выразительный, но лицо частично теряется в тени.",,ai_first_pass_needs_human_review,cecb1e6cd20cca3e1b84307ed8ff437e579508f16028fc2b42a8a9fdb89a1f96
ca_img_023,023.jpg,docs/cameraanalysis/dataset/inbox/images/023.jpg,curated_user_inbox,user_curated_candidate,1280,849,good,dark_window_mood,темное окно в интерьере,Кадр атмосферный: темнота здесь часть стиля.,Окно и тьма формируют mood shot без обязательного исправления экспозиции.,keep_current_setup,,add_front_fill_light|step_closer,medium,False,low_key|interior,,,темнота работает как художественный стиль,ai_first_pass_needs_human_review,a3b293336208ece3ca239d2290d73cd958a5f3b980578e633e9015d9f4d5fcce
ca_img_024,024.jpg,docs/cameraanalysis/dataset/inbox/images/024.jpg,curated_user_inbox,user_curated_candidate,1280,853,mixed,night_landscape,ночной пейзаж с силуэтами пальм,Система должна быть осторожной: уверенность в совете низкая.,"Ночное настроение есть, но ясного субъекта мало; лучше не давать категоричный совет.",,,step_closer|level_horizon,low,False,low_confidence_silence|landscape,,"Ночное настроение есть, но ясного субъекта мало; лучше не давать категоричный совет.",,ai_first_pass_needs_human_review,e068b44cadea11d6a3bfe888d6ec9551f20a92625301c3e87df6a0633ecdb5eb
ca_img_025,025.jpg,docs/cameraanalysis/dataset/inbox/images/025.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,cinematic_corridor_silhouette,силуэт человека в коридоре,Кадр атмосферный: темнота здесь часть стиля.,Коридор и свет в конце ведут взгляд к маленькому силуэту.,keep_current_setup,,step_closer|add_front_fill_light,high,False,cinematic_depth|low_key,,,темнота работает как художественный стиль,ai_first_pass_needs_human_review,dfefb0a68dec266abd72228eefddbe4ea7016e215a83b81a67cb7f3ef7880609
ca_img_026,026.jpg,docs/cameraanalysis/dataset/inbox/images/026.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,dramatic_portrait,женщина с полосами света,Кадр уже читается хорошо.,Световой рисунок выделяет лицо; тени художественные.,keep_current_setup,,add_front_fill_light|step_closer,high,True,demo_good_light|portrait,,,лицо или герой читается,ai_first_pass_needs_human_review,6b6b432e2e3e24ba721f3d22cf6e16c92968d9e0298b8467cc96c0e253eecd83
ca_img_027,027.jpg,docs/cameraanalysis/dataset/inbox/images/027.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,cinematic_bts_camera,операторская камера и человек в зеленом свете,Кадр уже читается хорошо.,Камера и силуэт создают ясную тему кадра.,keep_current_setup,,add_front_fill_light|simplify_background,medium,False,cinematic|object_and_person,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,991895e15ac5e883e856c894b19315d0acacd4d870bbb8d9684e17db5c1dd674
ca_img_028,028.jpg,docs/cameraanalysis/dataset/inbox/images/028.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,night_street_scene,машина и человек у здания ночью,Оставь кадр: ночной свет работает как стиль.,Световые акценты отделяют сцену и задают атмосферу.,keep_current_setup,,level_horizon|add_front_fill_light,medium,False,street_night|cinematic,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,2863dff4e728f526a7e833ef095b597000893cbd20714bba289ef964516a79f1
ca_img_029,029.jpg,docs/cameraanalysis/dataset/inbox/images/029.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,interior_mood_light,диван и цветная световая панель,Кадр атмосферный: темнота здесь часть стиля.,"Цветовая панель держит внимание, темнота поддерживает интерьерный mood.",keep_current_setup,,add_front_fill_light|step_closer,medium,False,interior|low_key,,,темнота работает как художественный стиль,ai_first_pass_needs_human_review,f4e0e2308678966f541a35ba4af2ab226032227785dc145ed3e3bd3b5daa2190
ca_img_030,030.jpg,docs/cameraanalysis/dataset/inbox/images/030.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,stage_single_subject,человек под прожектором,Кадр хорошо отделяет героя светом.,Прожектор отделяет героя от сцены и создает глубину.,keep_current_setup,,add_front_fill_light|simplify_background,high,False,stage|light_separation,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,572d68baec81266b51e52bdf6b3fc33c78b89e573fe8fd66879b4c7aa3dbc362
ca_img_031,031.jpg,docs/cameraanalysis/dataset/inbox/images/031.jpg,curated_user_inbox,user_curated_candidate,1280,899,good,object_still_life,"камера, лампа и растение",Предметный кадр читается хорошо.,"Лампа, камера и растение создают сбалансированный предметный кадр.",keep_current_setup,,remove_distracting_object|step_closer,high,True,demo_good_object|object_still_life,,,предмет является ясным визуальным центром,ai_first_pass_needs_human_review,0092b45bda3bf35031015162375d26f20fdd64f12306be347d046374ffe20c3c
ca_img_032,032.jpg,docs/cameraanalysis/dataset/inbox/images/032.jpg,curated_user_inbox,user_curated_candidate,1280,853,mixed,abstract_blur,размытый цветовой фрагмент,Система должна быть осторожной: уверенность в совете низкая.,"Абстракция может быть намеренной, но субъект неясен.",,,level_horizon|step_closer|simplify_background,low,False,low_confidence_silence|abstract,,"Абстракция может быть намеренной, но субъект неясен.",,ai_first_pass_needs_human_review,be6446a8d9ed12c9a7738973d945931b2d15a609586b3c089c08036174a1bfa6
ca_img_033,033.jpg,docs/cameraanalysis/dataset/inbox/images/033.jpg,curated_user_inbox,user_curated_candidate,1280,853,mixed,film_set_group,люди в интерьере на съемке,"Возможно, стоит упростить фон или выбрать главный центр.","Сцена интересная, но люди и предметы конкурируют за внимание.",simplify_background,,level_horizon,medium,False,background_clutter|group_subject,background_clutter,фон или толпа конкурируют с главным субъектом,,ai_first_pass_needs_human_review,aa715056c198373d59b8d8db3a66b71d0a78dd23734ef64de8f591b45532fc36
ca_img_034,034.jpg,docs/cameraanalysis/dataset/inbox/images/034.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,interior_lamp_mood,лампа и темный интерьер,Предметный кадр читается хорошо.,Лампа является главным световым центром.,keep_current_setup,,add_front_fill_light|step_closer,medium,False,interior|object_light,,,предмет является ясным визуальным центром,ai_first_pass_needs_human_review,d5003d9d1e7db32620c7ebee5d6b6c9fceb803e0381643901a0e59f0b2ba41dd
ca_img_035,035.jpg,docs/cameraanalysis/dataset/inbox/images/035.jpg,curated_user_inbox,user_curated_candidate,1280,561,mixed,night_car_detail,машина в темной сцене,"Возможно, субъекту нужен мягкий свет.","Машина почти теряется в темноте, нужен слабый акцентный свет.",add_front_fill_light|add_background_light,,level_horizon,medium,False,low_light|subject_visibility,low_light,субъект или сцена недостаточно освещены,,ai_first_pass_needs_human_review,9ceecd8bf91bef7eefbc70aa632d8165ef9bf1ff0ce0e170edea5a65edba778e
ca_img_036,036.jpg,docs/cameraanalysis/dataset/inbox/images/036.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,object_detail_book,книга в темном свете,Предметный кадр читается хорошо.,Свет выделяет книгу и фактуру страницы.,keep_current_setup,,add_front_fill_light|simplify_background,medium,False,object_still_life|low_key,,,предмет является ясным визуальным центром|темнота работает как художественный стиль,ai_first_pass_needs_human_review,d2fad1ad1ecc1d8db33c65012bfb8d8878d09b495efa1bac293042688bda480d
ca_img_037,037.jpg,docs/cameraanalysis/dataset/inbox/images/037.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,interior_window_mood,интерьер с окном и предметами,Кадр атмосферный: темнота здесь часть стиля.,Окно создает сильный световой центр и глубину.,keep_current_setup,,add_front_fill_light|step_closer,medium,False,interior|low_key,,,темнота работает как художественный стиль,ai_first_pass_needs_human_review,18e1d24b11de4392116538e385ff2db73767a504f08461079dc54eb0c17fbb52
ca_img_038,038.jpg,docs/cameraanalysis/dataset/inbox/images/038.jpg,curated_user_inbox,user_curated_candidate,1280,857,mixed,abstract_motion_blur,размытый темный фрагмент,Кадр смазан — попробуй зафиксировать камеру.,Сильный смаз и отсутствие субъекта делают совет низкоуверенным.,,stabilize_camera|refocus_subject,level_horizon|step_closer,low,False,low_confidence_silence|abstract,motion_blur|defocus,Сильный смаз и отсутствие субъекта делают совет низкоуверенным.,,ai_first_pass_needs_human_review,77bbd0f9d0fb9e5c23d9498dbd48c1fa72d9e9f19e41fa53bc0a5118ec9ccd7f
ca_img_039,039.jpg,docs/cameraanalysis/dataset/inbox/images/039.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,night_architecture,темное здание с окнами,Кадр атмосферный: темнота здесь часть стиля.,Светящиеся окна создают структуру и настроение.,keep_current_setup,,add_front_fill_light|step_closer,medium,False,architecture|low_key,,,темнота работает как художественный стиль,ai_first_pass_needs_human_review,21a2a2460d2004a8b28cd61b53f5997a6858a6bf841ff0a5961ab3948854fdcb
ca_img_040,040.jpg,docs/cameraanalysis/dataset/inbox/images/040.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,rainy_backlit_silhouette,силуэт человека под зонтом в гараже,Кадр сильный: контровой свет отделяет героя.,Контровой свет отделяет силуэт; дымка и дождь усиливают глубину.,keep_current_setup,,add_front_fill_light|step_closer,high,True,demo_good_backlight|silhouette,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,7d4552045ef4033722d43a157391073e4cea4813f4f4773f00f5759423421ba7
ca_img_041,041.jpg,docs/cameraanalysis/dataset/inbox/images/041.jpg,curated_user_inbox,user_curated_candidate,1280,720,good,night_city_portrait,женщина на улице ночью,Кадр уже читается хорошо.,Блики и ночной свет помогают отделить героя.,keep_current_setup,,remove_background_hotspot|add_front_fill_light,high,True,demo_good_portrait|night,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,acea88c2139522e893e792663a457f9af2ba386e85198ca5a144a19de624adfb
ca_img_042,042.jpg,docs/cameraanalysis/dataset/inbox/images/042.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,black_white_portrait,мужчина в черно-белом кадре,Кадр читается хорошо: монохром подчеркивает форму.,Монохром снижает шум фона и выделяет лицо.,keep_current_setup,,simplify_background|step_closer,high,False,portrait|black_white,,,лицо или герой читается,ai_first_pass_needs_human_review,36618de765ce913edde56a13996b605af63cc4f9f142f3e53a8bb55aa449b721
ca_img_043,043.jpg,docs/cameraanalysis/dataset/inbox/images/043.jpg,curated_user_inbox,user_curated_candidate,1280,961,good,street_group_portrait,люди на городской улице,"Группа читается хорошо, сильных исправлений не нужно.","Люди отделены от улицы, перспектива поддерживает сцену.",keep_current_setup,,step_closer|simplify_background,medium,False,street|group_subject,,,несколько людей читаются как группа,ai_first_pass_needs_human_review,5b0867ac1fabc9b47379dfd2f44fc7823e8f901e4b6a9bf3826488b372fbd5c3
ca_img_044,044.jpg,docs/cameraanalysis/dataset/inbox/images/044.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,neon_street_portrait,женщина у неонового окна,Оставь кадр: ночной свет работает как стиль.,"Неон и отражения работают как стиль, а не как мусорный фон.",keep_current_setup,,simplify_background|add_front_fill_light,medium,False,street_night|neon,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,fc0c4e75551b06cf3eaf2951bc57ebbaa21bf669e52b50e16aa9f837a2d79741
ca_img_045,045.jpg,docs/cameraanalysis/dataset/inbox/images/045.jpg,curated_user_inbox,user_curated_candidate,1280,902,good,night_wide_portrait,одинокий человек на ночной улице,Оставь широкий план: пространство здесь работает на историю.,Маленький субъект и пространство создают настроение.,keep_current_setup,,step_closer|add_front_fill_light,high,False,wide_negative_space|street_night,,,пространство работает на историю,ai_first_pass_needs_human_review,984ab50d6f1328675cf35eaf89b7020ae0a563898f18e1b4fbe8f12b86c5d420
ca_img_046,046.jpg,docs/cameraanalysis/dataset/inbox/images/046.jpg,curated_user_inbox,user_curated_candidate,1280,851,good,black_white_street_scene,уличные музыканты в арке,Кадр читается хорошо: монохром подчеркивает форму.,"Арка, свет и фигуры дают глубину.",keep_current_setup,,step_closer|simplify_background,high,False,street|black_white,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,a732d7a616f5521ac96ad2671bf009a0a1b110de5485a014d35caf9130a4035b
ca_img_047,047.jpg,docs/cameraanalysis/dataset/inbox/images/047.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,street_single_portrait,девушка на улице,Кадр уже читается хорошо.,Субъект отделен от городского фона.,keep_current_setup,,step_closer|simplify_background,high,False,portrait|street,,,лицо или герой читается,ai_first_pass_needs_human_review,93ce0d013be49fea276ac5337a3cd148a71c7ced99eb993416d896311cc63319
ca_img_048,048.jpg,docs/cameraanalysis/dataset/inbox/images/048.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,wide_spotlight_subject,человек под светом у стены,Кадр уже читается хорошо.,Широкое пространство и пятно света делают героя главным.,keep_current_setup,,step_closer|add_front_fill_light,high,True,demo_good_negative_space|spotlight,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,043fb89612532909c80f86b78eca51c1aa7a01a24233b8b4fe5e86ad98a6d1e9
ca_img_049,049.jpg,docs/cameraanalysis/dataset/inbox/images/049.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,night_smoke_portrait,мужчина в дымке ночью,Кадр уже читается хорошо.,Дымка и свет отделяют героя и добавляют глубину.,keep_current_setup,,simplify_background|add_front_fill_light,high,False,portrait|night|depth,,,лицо или герой читается,ai_first_pass_needs_human_review,800947ad443fb90daf3ef7f60a59ffbb92b12a2c3d52125068f07ab168a4257a
ca_img_050,050.jpg,docs/cameraanalysis/dataset/inbox/images/050.jpg,curated_user_inbox,user_curated_candidate,1280,860,good,night_corridor_silhouette,силуэт человека в темном проходе,Кадр атмосферный: темнота здесь часть стиля.,"Световые линии ведут взгляд, силуэт намеренный.",keep_current_setup,,add_front_fill_light|step_closer,medium,False,silhouette|low_key,,,темнота работает как художественный стиль,ai_first_pass_needs_human_review,0a9e0b6d3e59ce82f2a60fab7a4a45b4aace80d9442f8f0df871b363c5ae3235
ca_img_051,051.jpg,docs/cameraanalysis/dataset/inbox/images/051.jpg,curated_user_inbox,user_curated_candidate,1280,851,good,backlit_portrait,мужчина с ярким контровым светом,Кадр сильный: контровой свет отделяет героя.,Контровой свет отделяет голову и плечи.,keep_current_setup,,remove_background_hotspot|add_front_fill_light,high,True,demo_good_backlight|portrait,,,лицо или герой читается,ai_first_pass_needs_human_review,8f46e10b95b35e243d3b0c2344d937c56c8a487e39f2c46c4bb5b011a7499e5f
ca_img_052,052.jpg,docs/cameraanalysis/dataset/inbox/images/052.jpg,curated_user_inbox,user_curated_candidate,1280,854,good,black_white_street_landscape,городская улица в монохроме,Кадр читается хорошо: монохром подчеркивает форму.,Геометрия улицы и монохром формируют структуру.,keep_current_setup,,level_horizon|step_closer,medium,False,street|black_white,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,750dd73a9afac56cd4a5ab38e42da392297f96636e0972cd0f7ae383b9fd0bc0
ca_img_053,053.jpg,docs/cameraanalysis/dataset/inbox/images/053.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,street_back_view,человек спиной в городе,Кадр уже читается хорошо.,Фигура связана с окружением и перспективой.,keep_current_setup,,step_closer|simplify_background,medium,False,street|wide,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,2512a540ffebe0f3e3e7ef12159f139f45cd57fb83b1c4d7bbd26451c14ba007
ca_img_054,054.jpg,docs/cameraanalysis/dataset/inbox/images/054.jpg,curated_user_inbox,user_curated_candidate,1280,883,good,black_white_depth_frame,человек в глубине через проем,Кадр читается хорошо: монохром подчеркивает форму.,Проем и свет ведут взгляд в глубину.,keep_current_setup,,step_closer|add_front_fill_light,high,False,framing|black_white,,,композиция и свет поддерживают замысел,ai_first_pass_needs_human_review,efc236deab2b548d793bae966433d4b6e40e62cb79f143bfe5f53c0b33bf1ecb
ca_img_055,055.jpg,docs/cameraanalysis/dataset/inbox/images/055.jpg,curated_user_inbox,user_curated_candidate,1280,974,good,night_establishing_street,ночная городская улица,Оставь широкий план: пространство здесь работает на историю.,Световые пятна задают городское настроение.,keep_current_setup,,step_closer|add_front_fill_light,medium,False,street_night|establishing,,,пространство работает на историю,ai_first_pass_needs_human_review,42bb1637aa090d80e746ed369843ba78462de7176ce061d3f32b0f6926eb9cdd
ca_img_056,056.jpg,docs/cameraanalysis/dataset/inbox/images/056.jpg,curated_user_inbox,user_curated_candidate,1280,853,good,brick_wall_portrait,человек у кирпичной стены,Кадр уже читается хорошо.,Фактурная стена добавляет характер и не перебивает героя.,keep_current_setup,,simplify_background|step_closer,high,False,portrait|background_texture,,,лицо или герой читается,ai_first_pass_needs_human_review,c8d3a5d33be6deb97bdff92d022a9ded06be468a3c7b3a1b8c13db8d6a9be551
